name,platform,genre,publisher,developer,rating,year_of_release,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
Spawn the Eternal,PS,Action,Sony Computer Entertainment,unknown,E,1997.0,0.14,0.09,0.0,0.02,0.24,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Card Games,PS,Misc,D3Publisher,unknown,E,2000.0,0.04,0.03,0.0,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Buck Fever,Wii,Sports,Destineer,Destineer,T,2009.0,0.13,0.0,0.0,0.01,0.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ninja Gaiden Sigma,PSV,Action,Tecmo Koei,unknown,E,2012.0,0.1,0.05,0.04,0.03,0.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Medal of Honor: Frontline,GC,Shooter,Electronic Arts,Dreamworks Games,T,2002.0,0.46,0.12,0.0,0.02,0.59,80.0,16.0,7.9,16.0
Brave Story: New Traveler (US sales),PSP,Role-Playing,Sony Computer Entertainment,unknown,E,2006.0,0.11,0.0,0.0,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dynasty Warriors,PSP,Action,Tecmo Koei,Koei,T,2004.0,0.18,0.0,0.3,0.02,0.51,62.0,26.0,7.3,24.0
Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo,unknown,E,2014.0,3.27,1.37,2.43,0.48,7.55,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NANA: Live Staff Daiboshuu! Shoshinsha Kangei,DS,Action,Konami Digital Entertainment,unknown,E,2007.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Disney Sing It: Party Hits,Wii,Misc,Disney Interactive Studios,Disney Interactive Studios,E,2010.0,0.48,0.1,0.0,0.04,0.63,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Killer Instinct Gold,N64,Fighting,Nintendo,unknown,E,1996.0,0.61,0.19,0.0,0.01,0.82,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NBA Street Homecourt,X360,Sports,Electronic Arts,EA Canada,E,2007.0,0.45,0.01,0.0,0.04,0.5,80.0,42.0,8.2,30.0
All-Star Baseball 2003,PS2,Sports,Acclaim Entertainment,Acclaim Studios Austin,E,2002.0,0.38,0.29,0.0,0.1,0.77,81.0,15.0,8.4,17.0
Metal Gear Solid 2: Substance,PS2,Action,Konami Digital Entertainment,KCEJ,M,2002.0,0.18,0.14,0.16,0.05,0.52,87.0,17.0,9.0,126.0
Legends of Wrestling,GC,Fighting,Acclaim Entertainment,Acclaim,T,2002.0,0.1,0.03,0.0,0.0,0.13,50.0,18.0,6.8,4.0
Nickelodeon Fit,Wii,Sports,Take-Two Interactive,High Voltage Software,E,2010.0,0.76,0.09,0.0,0.06,0.91,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Legend of Kay,PS2,Action,JoWood Productions,Neon Studios,E10+,2005.0,0.03,0.02,0.0,0.01,0.05,72.0,30.0,7.3,18.0
Kamen Rider: Climax Heroes,PS2,Fighting,Namco Bandai Games,unknown,E,2009.0,0.0,0.0,0.11,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ultimate NES Remix,3DS,Action,Unknown,Indies Zero,E,2014.0,0.15,0.09,0.0,0.02,0.27,69.0,16.0,7.6,32.0
Marvel Super Hero Squad: Comic Combat,X360,Action,THQ,THQ,E10+,2011.0,0.13,0.04,0.0,0.01,0.18,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Seaman 2: Peking Genjin Ikusei Kit,PS2,Simulation,Sega,unknown,E,2007.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Lollipop Chainsaw,PS3,Action,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,M,2012.0,0.27,0.2,0.11,0.08,0.66,67.0,37.0,7.1,199.0
ATV/Monster Truck Mayhem,DS,Racing,"Destination Software, Inc",unknown,E,2007.0,0.33,0.0,0.0,0.02,0.36,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
BeatMania IIDX 4th Style: New Songs Collection,PS2,Simulation,Konami Digital Entertainment,unknown,E,2001.0,0.0,0.0,0.05,0.0,0.05,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Guitar Hero: Warriors of Rock,X360,Misc,Activision,Neversoft Entertainment,T,2010.0,0.47,0.31,0.0,0.08,0.86,72.0,65.0,6.5,51.0
Mr. Driller 2,GBA,Puzzle,Namco Bandai Games,Namco,E,2001.0,0.0,0.0,0.15,0.0,0.16,62.0,16.0,7.126899879372738,163.0088459991958
Game & Wario,WiiU,Misc,Nintendo,unknown,E,2013.0,0.05,0.06,0.12,0.01,0.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Star Wars Episode III: Revenge of the Sith,XB,Action,Activision,Double Helix Games,T,2005.0,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0
Lemmings,PSP,Puzzle,Sony Computer Entertainment,Team 17,E,2006.0,0.12,0.51,0.0,0.23,0.86,76.0,46.0,7.9,14.0
God of War III,PS4,Action,Sony Computer Entertainment,unknown,E,2015.0,0.24,0.29,0.01,0.1,0.65,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Justice League Heroes,PSP,Role-Playing,Eidos Interactive,Snowblind Studios,T,2006.0,0.2,0.01,0.0,0.02,0.22,72.0,13.0,7.8,5.0
Rio,PS3,Misc,THQ,Eurocom Entertainment Software,E10+,2011.0,0.04,0.07,0.0,0.02,0.14,65.0,8.0,7.126899879372738,163.0088459991958
The X-Factor,Wii,Misc,Deep Silver,unknown,E,2010.0,0.0,0.28,0.0,0.04,0.33,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Shifters,PS2,Adventure,3DO,3DO,T,2002.0,0.03,0.02,0.0,0.01,0.05,37.0,12.0,5.9,8.0
Samurai Warriors,XB,Action,Tecmo Koei,Omega Force,T,2004.0,0.05,0.02,0.0,0.0,0.07,71.0,20.0,9.0,5.0
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,Platform,Konami Digital Entertainment,unknown,E,1994.0,0.0,0.0,0.36,0.0,0.36,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
F1 ROC: Race of Champions,SNES,Sports,Ocean,unknown,E,1992.0,0.0,0.0,0.28,0.0,0.28,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Men in Black The Series: Crashdown,PS,Shooter,Infogrames,unknown,E,2001.0,0.03,0.02,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
th!nk Logic Trainer,Wii,Puzzle,Conspiracy Entertainment,unknown,E,2009.0,0.01,0.0,0.0,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,Midway Studios - Los Angeles,M,2005.0,0.58,0.02,0.0,0.09,0.69,77.0,41.0,8.6,74.0
Clash of Elementalists,DS,Action,Level 5,Teyon,T,2010.0,0.0,0.0,0.47,0.0,0.47,34.0,4.0,7.126899879372738,163.0088459991958
Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,Role-Playing,Nippon Ichi Software,unknown,E,2007.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dead to Rights II,PS2,Shooter,Electronic Arts,WideScreen Games,M,2005.0,0.1,0.08,0.0,0.03,0.2,51.0,32.0,5.3,7.0
Dark Half,SNES,Role-Playing,Enix Corporation,unknown,E,1996.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Ball Z: Budokai Tenkaichi 2,PS2,Fighting,Atari,Spike,T,2006.0,0.66,0.02,0.0,0.11,0.79,73.0,31.0,8.6,61.0
HatsuKare * Renai Debut Sengen!,PSP,Adventure,FuRyu,unknown,E,2013.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Arkanoid DS,DS,Puzzle,Square Enix,Taito Corporation,E,2007.0,0.06,0.0,0.0,0.0,0.06,61.0,29.0,7.0,5.0
DiRT 2,PSP,Racing,Sony Computer Entertainment,Codemasters,E10+,2009.0,0.09,0.15,0.0,0.08,0.32,55.0,13.0,5.7,10.0
Empire Earth,PC,Strategy,Vivendi Games,Stainless Steel Studios,T,2001.0,0.0,0.04,0.0,0.01,0.05,81.0,23.0,8.2,126.0
Monster Strike 3DS,3DS,Action,"mixi, Inc",unknown,E,2015.0,0.0,0.0,0.87,0.0,0.87,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Total Overdose: A Gunslinger's Tale in Mexico,PS2,Shooter,Eidos Interactive,Deadline Games,M,2005.0,0.04,0.04,0.0,0.01,0.09,71.0,36.0,9.0,25.0
Monster High 13 Wishes,3DS,Action,Little Orbit,Game Machine Studios,E,2013.0,0.0,0.02,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tomb Raider: Anniversary,Wii,Action,Eidos Interactive,Crystal Dynamics,T,2007.0,0.12,0.62,0.0,0.11,0.85,73.0,22.0,7.3,25.0
Meiji Toukyou Renka: Twilight Kiss,PSP,Action,Broccoli,unknown,E,2015.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Need for Speed: Hot Pursuit,Wii,Racing,Electronic Arts,Exient Entertainment,E10+,2010.0,0.17,0.23,0.0,0.05,0.46,50.0,8.0,3.7,18.0
Norn9: Norn + Nonette,PSP,Adventure,Idea Factory,unknown,E,2013.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Yars' Revenge,2600,Shooter,Atari,unknown,E,1982.0,0.73,0.04,0.0,0.01,0.78,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Vagrant Story,PS,Role-Playing,Crave Entertainment,SquareSoft,T,2000.0,0.3,0.2,0.3,0.06,0.87,92.0,19.0,8.3,129.0
EVE: Valkyrie,PS4,Shooter,CCP,CCP,T,2016.0,0.03,0.05,0.0,0.02,0.1,73.0,26.0,6.3,37.0
Famicom Mini: Makaimura,GBA,Platform,Capcom,unknown,E,2004.0,0.0,0.0,0.08,0.0,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Ball Z for Kinect,X360,Fighting,Namco Bandai Games,Spike,T,2012.0,0.01,0.0,0.0,0.0,0.01,49.0,32.0,2.1,39.0
Resident Evil: Revelations,X360,Action,Capcom,Capcom,M,2013.0,0.12,0.1,0.02,0.02,0.26,75.0,30.0,7.4,170.0
Ken to Mahou to Gakuen Mono. 2,PSP,Role-Playing,Acquire,unknown,E,2009.0,0.0,0.0,0.08,0.0,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Call of Duty Black Ops: Declassified,PSV,Action,Activision,Nihilistic,M,2012.0,0.71,0.43,0.07,0.26,1.47,33.0,58.0,4.8,479.0
World Poker Tour,PS2,Misc,Take-Two Interactive,Coresoft,T,2005.0,0.1,0.08,0.0,0.03,0.21,60.0,17.0,8.6,5.0
Nicola Kanshuu: Model * Oshare Audition 2,3DS,Action,Alchemist,unknown,E,2011.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Mega Man & Bass,GBA,Platform,Capcom,unknown,E,2002.0,0.16,0.06,0.0,0.0,0.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
F1 2011,PC,Racing,Codemasters,Codemasters,E,2011.0,0.0,0.15,0.0,0.04,0.19,83.0,10.0,7.2,83.0
ESA Foundation Compilation,PS2,Misc,Sony Computer Entertainment,unknown,E,2005.0,0.1,0.07,0.0,0.02,0.19,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Sims 2,PC,Simulation,Electronic Arts,Maxis,T,2004.0,0.02,0.24,0.0,0.04,0.29,90.0,61.0,8.8,676.0
Battle of Giants: Dinosaurs Strike,Wii,Strategy,Ubisoft,Ubisoft Quebec,E10+,2010.0,0.14,0.03,0.0,0.01,0.18,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Shovel Knight,PS4,Platform,Yacht Club Games,Yacht Club Games,E,2015.0,0.03,0.03,0.0,0.01,0.08,90.0,18.0,7.6,312.0
Assassin's Creed III: Liberation,PSV,Action,Ubisoft,Ubisoft,M,2012.0,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0
FIFA 16,XOne,Sports,Electronic Arts,EA Sports,E,2015.0,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0
Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,Adventure,Disney Interactive Studios,EA Bright Light,E,2010.0,0.17,0.12,0.0,0.03,0.32,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Rampage: Total Destruction,PS2,Action,Midway Games,"Pipeworks Software, Inc.",E10+,2006.0,0.18,0.14,0.0,0.05,0.37,51.0,34.0,7.0,15.0
Army Men: Air Combat,N64,Action,3DO,unknown,E,2000.0,0.19,0.05,0.0,0.0,0.24,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Eureka Seven Vol. 2: The New Vision,PS2,Shooter,Namco Bandai Games,Namco Bandai Games America,T,2006.0,0.0,0.0,0.02,0.0,0.02,40.0,17.0,7.0,5.0
New Super Luigi U,WiiU,Platform,Nintendo,Nintendo,E,2013.0,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0
Dynasty Warriors Gundam,X360,Action,Namco Bandai Games,"Koei, Omega Force",T,2007.0,0.15,0.01,0.02,0.01,0.19,55.0,34.0,6.8,20.0
NASCAR Rumble,PS,Racing,Electronic Arts,unknown,E,2000.0,0.31,0.21,0.0,0.04,0.56,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Big Strike Bowling,PS,Sports,Gotham Games,unknown,E,2003.0,0.23,0.16,0.0,0.03,0.42,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Killzone: Mercenary,PSV,Shooter,Sony Computer Entertainment Europe,Guerilla Cambridge,M,2013.0,0.2,0.39,0.04,0.17,0.8,78.0,86.0,8.9,513.0
Kikou Heidan J-Phoenix 2,PS2,Action,Takara,unknown,E,2003.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
X-Men vs. Street Fighter,SAT,Fighting,Capcom,unknown,E,1997.0,0.0,0.0,0.26,0.0,0.26,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Evolution Soccer 2015,XOne,Sports,Konami Digital Entertainment,Konami,E,2014.0,0.03,0.1,0.0,0.01,0.14,79.0,9.0,7.3,65.0
James Bond 007: Blood Stone,PS3,Shooter,Activision,Bizarre Creations,T,2010.0,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0
Kiniro no Corda 2,PS2,Role-Playing,Tecmo Koei,unknown,E,2007.0,0.0,0.0,0.06,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Sakura-Sou no Pet na Kanojo,PSV,Adventure,Kadokawa Games,unknown,E,2013.0,0.0,0.0,0.01,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hakuouki: Zuisouroku Portable,PSP,Adventure,Idea Factory,unknown,E,2010.0,0.0,0.0,0.09,0.0,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Martian Panic,Wii,Adventure,Unknown,N-Fusion Interactive Entertainment Corp.,T,2010.0,0.08,0.0,0.0,0.0,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Yakuza Kiwami,PS4,Adventure,Sega,Ryu ga Gotoku Studios,E,2016.0,0.0,0.0,0.16,0.0,0.16,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Unreal Tournament III,X360,Shooter,Midway Games,Epic Games,M,2008.0,0.25,0.17,0.01,0.05,0.47,82.0,47.0,7.6,95.0
Dance on Broadway,PS3,Misc,Ubisoft,Longtail Studios,E10+,2011.0,0.05,0.03,0.0,0.01,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Omerta: City of Gangsters,X360,Simulation,Konami Digital Entertainment,Kalypso,T,2011.0,0.42,0.22,0.0,0.06,0.7,43.0,18.0,3.3,25.0
Resident Evil 5 HD,PS4,Action,Capcom,unknown,E,2016.0,0.02,0.0,0.0,0.01,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Zombi Daisuki,DS,Action,ChunSoft,unknown,E,2011.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Yakuman,GB,Misc,Nintendo,unknown,E,1989.0,0.0,0.0,1.28,0.0,1.28,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
JASF: Jane's Advanced Strike Fighters,PC,Simulation,Deep Silver,Trickstar Games,T,2011.0,0.02,0.01,0.0,0.0,0.04,48.0,4.0,3.1,14.0
ESPN NBA Basketball,XB,Sports,Sega,Visual Concepts,E,2003.0,0.2,0.06,0.0,0.01,0.27,87.0,18.0,8.2,25.0
One Piece: Burning Blood,PS4,Fighting,Namco Bandai Games,Spike Chunsoft,T,2016.0,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,Action,Konami Digital Entertainment,unknown,E,2012.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Need for Speed: The Run,X360,Action,Electronic Arts,Black Box,T,2011.0,0.63,0.57,0.0,0.15,1.36,68.0,65.0,6.0,160.0
Shrek: Forever After,PS3,Platform,Activision,Xpec,E10+,2010.0,0.16,0.02,0.0,0.02,0.19,57.0,11.0,4.5,6.0
Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,Adventure,Tecmo Koei,unknown,E,2009.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Stacked with Daniel Negreanu,PSP,Misc,Myelin Media,3G Studios,T,2006.0,0.03,0.0,0.0,0.0,0.03,63.0,13.0,7.126899879372738,163.0088459991958
Scrabble (Others sales),DS,Puzzle,Ubisoft,unknown,E,2009.0,0.0,0.23,0.0,0.0,0.23,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
AKB1/149: Love Election,PS3,Adventure,Namco Bandai Games,unknown,E,2013.0,0.0,0.0,0.08,0.0,0.08,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Spider-Man 2,XB,Action,Activision,Treyarch,T,2004.0,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.3,40.0
Hummer Badlands,XB,Racing,Global Star,Eutechnyx,E,2006.0,0.01,0.0,0.0,0.0,0.02,44.0,7.0,6.0,5.0
Jeremy McGrath Supercross World,GC,Racing,Acclaim Entertainment,Acclaim,E,2002.0,0.09,0.02,0.0,0.0,0.12,36.0,14.0,5.6,5.0
World of Zoo,PC,Simulation,THQ,Blue Fang Games,E,2009.0,0.0,0.02,0.0,0.01,0.03,68.9971185166625,26.440992232523175,8.4,11.0
Pop'n Music 13 Carnival,PS2,Simulation,Konami Digital Entertainment,unknown,E,2006.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
TOEIC Test Training DS,DS,Misc,IE Institute,unknown,E,2007.0,0.0,0.0,0.17,0.0,0.17,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Brain Voyage,DS,Puzzle,Eidos Interactive,Razorback Developments,E,2008.0,0.06,0.01,0.0,0.01,0.08,52.0,12.0,7.126899879372738,163.0088459991958
Pop'n Music Portable,PSP,Misc,Konami Digital Entertainment,unknown,E,2010.0,0.0,0.0,0.13,0.0,0.13,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,Action,THQ,unknown,E,2011.0,0.07,0.03,0.0,0.01,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
A-Train: City Simulator,3DS,Simulation,ArtDink,Artdink,E10+,2014.0,0.0,0.0,0.06,0.0,0.06,65.0,4.0,7.126899879372738,163.0088459991958
SD Gundam: Gashapon Wars,GC,Strategy,Namco Bandai Games,unknown,E,2005.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Galaxy Angel II: Eigou Kaiki no Koku,PS2,Strategy,Broccoli,unknown,E,2009.0,0.0,0.0,0.02,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
LEGO Batman 2: DC Super Heroes,PSV,Action,Warner Bros. Interactive Entertainment,TT Games,E10+,2012.0,0.16,0.11,0.0,0.06,0.33,62.0,9.0,6.7,46.0
Rugrats Studio Tour,PS,Adventure,THQ,unknown,E,1999.0,0.57,0.67,0.0,0.07,1.31,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
FIFA World Cup Germany 2006,GC,Sports,Electronic Arts,EA Canada,E,2006.0,0.1,0.03,0.0,0.0,0.13,76.0,17.0,6.2,5.0
Jimmie Johnson's Anything With an Engine,X360,Racing,Konami Digital Entertainment,Isopod Labs,E10+,2011.0,0.08,0.0,0.0,0.01,0.09,65.0,5.0,8.8,8.0
Samurai Warriors: State of War,PSP,Action,Tecmo Koei,Omega Force,T,2005.0,0.07,0.0,0.11,0.01,0.18,64.0,30.0,6.4,8.0
Dynasty Warriors 4,PS2,Action,Tecmo Koei,Omega Force,T,2003.0,0.63,0.21,1.13,0.13,2.11,78.0,24.0,9.3,201.0
NBA 2K2,PS2,Sports,Sega,Visual Concepts,E,2002.0,0.59,0.46,0.01,0.15,1.22,89.0,19.0,7.8,16.0
Battle Stadium D.O.N,PS2,Fighting,Namco Bandai Games,unknown,E,2006.0,0.0,0.0,0.15,0.0,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Star Wars: The Force Unleashed II,DS,Action,LucasArts,LucasArts,T,2010.0,0.17,0.03,0.0,0.02,0.21,43.0,5.0,4.0,5.0
Epic Mickey,Wii,Platform,Disney Interactive Studios,Junction Point,E,2010.0,2.04,0.63,0.12,0.22,3.0,73.0,78.0,7.0,131.0
Dragon Ball Z: Ultime Menace,SNES,Fighting,Namco Bandai Games,unknown,E,1993.0,0.0,0.0,0.73,0.0,0.73,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Learn Chess,DS,Misc,DreamCatcher Interactive,unknown,E,2009.0,0.09,0.0,0.0,0.01,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
James Bond 007: Everything or Nothing,GBA,Shooter,Electronic Arts,Griptonite Games,T,2003.0,0.12,0.04,0.0,0.0,0.17,73.0,17.0,8.3,11.0
Safari Adventures: Africa,Wii,Adventure,Neko Entertainment,Conspiracy Entertainment,E,2007.0,0.03,0.0,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Guitar Hero: Van Halen,X360,Misc,Activision,"Neversoft Entertainment, Underground Development",T,2009.0,0.16,0.1,0.0,0.03,0.29,57.0,34.0,5.8,17.0
Swingerz Golf,GC,Sports,Eidos Interactive,Telenet,E,2002.0,0.06,0.02,0.0,0.0,0.08,72.0,11.0,9.3,4.0
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,Sports,Konami Digital Entertainment,unknown,E,2002.0,0.0,0.0,0.09,0.0,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Warrior II,NES,Role-Playing,Enix Corporation,unknown,E,1987.0,0.15,0.0,2.41,0.0,2.56,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Black,XB,Shooter,Electronic Arts,Criterion Games,M,2006.0,0.31,0.09,0.0,0.01,0.42,77.0,65.0,8.0,51.0
Treasures of the Deep,PS,Action,Namco Bandai Games,unknown,E,1997.0,0.1,0.07,0.0,0.01,0.19,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Yaky? Spirits 2014,PS3,Sports,Konami Digital Entertainment,unknown,E,2014.0,0.0,0.0,0.14,0.0,0.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Spy Hunter 2,PS2,Racing,Midway Games,Angel Studios,T,2003.0,0.24,0.19,0.0,0.06,0.49,57.0,30.0,6.4,8.0
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,Misc,Konami Digital Entertainment,unknown,E,2001.0,0.0,0.0,0.4,0.01,0.41,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
SoulCalibur III,PS2,Fighting,Namco Bandai Games,Namco,T,2005.0,0.74,0.15,0.13,0.05,1.07,86.0,57.0,8.4,96.0
Chessmaster: The Art of Learning,DS,Misc,Ubisoft,Ubisoft,E,2007.0,0.12,0.03,0.0,0.01,0.15,68.9971185166625,26.440992232523175,6.7,10.0
Atelier Iris: Eternal Mana,PS2,Role-Playing,Tecmo Koei,Gust,T,2004.0,0.08,0.06,0.0,0.02,0.15,74.0,38.0,7.7,38.0
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,Misc,Sony Computer Entertainment,unknown,E,2003.0,0.23,0.15,0.0,0.03,0.4,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NASCAR 07,XB,Racing,Electronic Arts,EA Tiburon,E,2006.0,0.03,0.01,0.0,0.0,0.04,72.0,26.0,7.0,4.0
SSX On Tour,XB,Sports,Electronic Arts,EA Canada,E,2005.0,0.11,0.03,0.0,0.01,0.14,81.0,35.0,8.1,10.0
A.C.E.: Another Century's Episode 3: The Final,PS2,Simulation,Banpresto,unknown,E,2007.0,0.0,0.0,0.26,0.0,0.26,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Zero4 Champ RR,SNES,Sports,Media Rings,unknown,E,1994.0,0.0,0.0,0.36,0.0,0.36,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Bomberman,PSP,Puzzle,Konami Digital Entertainment,Hudson,E,2006.0,0.14,0.0,0.0,0.01,0.15,73.0,30.0,7.0,7.0
Totally Spies!,GBA,Platform,Atari,unknown,E,2005.0,0.02,0.01,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Shin Sangoku Musou: Multi Raid 2,PSP,Action,Tecmo Koei,unknown,E,2010.0,0.0,0.0,0.11,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Marvel Super Hero Squad: The Infinity Gauntlet,DS,Action,THQ,THQ,E10+,2010.0,0.17,0.03,0.0,0.02,0.22,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Yaky? Spirits 2011,PSP,Sports,Konami Digital Entertainment,unknown,E,2011.0,0.0,0.0,0.24,0.0,0.24,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Jewel Master: Cradle of Rome,Wii,Puzzle,Rondomedia,Cerasus Media,E,2008.0,0.03,0.0,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,Action,D3Publisher,unknown,E,2013.0,0.1,0.03,0.0,0.01,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
